"Nuclear energy consumed for electricity generation, total, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,425","70,195","29,978","46,557","210,228","249,788","240,321","256,310","260,780","306,734","274,203","262,518","152,028","122,308","117,450","137,623","121,962","127,533","166,430","203,111","187,216","214,054","218,045","312,018","310,336","300,698","322,826","327,143","317,019","332,650","330,137","329,898","330,761","332,992","360,036","407,551","415,392","396,557","411,822","427,975","426,488","431,368","438,728","417,334","446,097","412,584","455,865","454,930","480,115","441,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,024","53,676","42,614","54,759","57,113","42,139","85,438","100,093","82,852","83,380","117,188","105,042","93,900","118,720","94,309","93,599","119,387","132,746","118,591","142,032","145,531","122,486","140,285","149,100","137,403","135,009","121,516","154,356","152,024","153,093","161,111","142,864","158,952","162,434","148,085","158,663","157,017","148,531","162,353","124,816","151,428","144,716","140,370","132,736","132,996","141,750","157,349","141,372","149,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,005","105,540","140,532","243,215","83,080","217,965","263,104","268,149","231,601","242,182","283,526","302,902","307,623","317,888","317,843","316,839","299,966","322,260","297,872","293,158","269,327","250,568","280,920","305,726","320,692","326,102","327,292","334,636","328,423","338,044","340,153","338,636","338,246","325,122","333,312","329,597","329,868","333,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1,55,84,"2,288","4,369","3,193","1,895","6,503","17,003","27,127","34,375","38,137","34,266","28,689","41,277","66,855","53,107","87,396","83,801","95,320","53,665","35,367","41,357","61,214","153,366","209,565","277,332","317,298","327,209","344,146","345,955","330,684","369,043","331,724","352,778","317,794","358,119","320,194","362,928","348,736","366,845","346,911","358,707","370,958","315,634","377,313","333,488","375,427","339,506","332,218","336,562","383,644","193,939","187,162","177,656","193,529","197,754","187,227","190,422","168,799","169,838","171,842","183,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,421","6,664","2,316","7,273","8,261","6,299","8,162",598,-337,550,"1,812","6,994","5,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0,0,0,0,0,0,"6,056","33,941","40,166","39,567","84,173","83,932","46,911","88,951","89,590","136,215","141,876","151,674","138,231","129,094","139,788","150,866","126,367","154,967","135,127","197,480","214,482","235,904","207,033","209,272","128,355","175,606","229,006","210,712","196,995","65,384","-1,309","34,022","132,456","170,674","161,112","155,777","167,566","172,470","162,406","173,111","171,874","161,305","174,220","175,074","166,669","178,959","178,465","165,677","182,083","173,363","172,570","176,496","174,730","164,157","179,551","171,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,0,0,0,0,0,0,0,0,0,0,0,0,713,"51,038","87,919","92,177","95,538","189,076","172,977","167,438","182,563","159,362","213,919","161,446","261,074","249,204","233,119","196,026","277,752","221,356","230,471","215,001","262,989","271,916","278,881","301,978","267,514","241,023","326,432","329,450","336,766","329,825","351,940","322,868","325,516","300,127","327,934","307,215","335,857","304,544","250,178","230,369","187,259","277,169","291,474","294,099","306,658","304,840","306,461","303,946","307,315","307,811","320,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,"34,063","45,666","39,985","46,798","55,429","92,015","79,799","73,144","84,771","59,331","107,602","76,574","159,333","160,615","264,167","262,401","272,752","293,149","286,059","302,346","322,151","314,302","319,170","329,212","328,946","338,660","351,739","324,827","346,601","351,921","329,092","333,981","341,364","331,235","331,368","350,268","338,052","355,674","343,801","340,652","353,883","360,633","352,560","359,262","350,759","342,897","354,085","355,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
