"All petroleum products total consumption, excluding biofuels, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"45,410","51,008","53,752","55,429","58,130","61,705","65,655","76,363","80,412","92,045","95,999","109,703","117,919","112,132","117,486","123,119","141,170","154,922","163,486","127,623","129,309","135,710","149,249","175,955","200,815","237,018","273,084","231,366","215,477","231,924","226,509","204,675","212,539","213,456","219,277","235,221","242,048","256,040","258,658","275,510","275,255","289,334","277,400","285,417","334,121","333,091","342,272","323,089","278,725","264,885","272,455","268,848","250,063","230,765","226,102","235,839","219,810","215,842","215,070","220,327","221,927","260,361","252,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"236,010","232,362","239,387","251,791","256,646","261,907","272,450","277,348","306,563","337,296","352,050","364,985","405,130","450,532","476,203","487,794","532,874","573,518","577,713","491,310","450,362","444,499","440,359","415,569","415,550","410,037","425,299","460,724","463,721","487,915","482,913","486,549","491,998","498,060","525,738","536,342","539,104","524,929","518,605","536,391","559,735","534,772","562,366","561,731","609,981","606,840","611,265","601,179","566,323","517,082","521,156","521,337","513,993","492,294","490,328","511,742","538,963","530,273","518,569","529,279","525,877","581,923","576,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"148,055","159,835","166,202","172,970","184,126","178,998","194,561","200,031","219,831","237,000","246,630","269,003","311,260","352,744","354,177","341,236","379,963","424,446","421,092","358,872","299,725","289,016","281,576","284,711","263,495","263,729","263,545","263,304","276,538","275,348","265,920","261,975","271,674","284,367","297,298","306,763","308,927","320,440","321,517","350,550","357,586","353,382","356,282","357,343","361,081","358,312","358,679","359,757","354,937","335,123","342,608","337,961","321,213","321,254","325,319","314,414","322,826","321,192","326,388","330,521","315,424","327,458","325,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"121,344","126,775","135,742","144,241","147,476","145,724","159,220","167,963","188,622","201,360","213,298","221,223","261,095","325,852","325,753","306,751","307,360","351,150","357,372","345,796","301,281","284,450","278,455","289,170","311,927","317,106","334,630","341,954","347,703","352,657","347,239","354,652","365,236","379,251","387,714","407,598","430,032","430,092","468,094","494,547","502,693","514,052","526,176","537,072","558,357","573,763","582,623","571,417","542,166","497,660","549,707","552,991","538,460","543,380","543,552","557,369","576,240","583,311","590,281","607,220","544,462","604,492","609,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,836,912","1,892,977","1,879,327","1,915,789","2,027,468","2,089,816","2,219,598","2,251,677","2,403,681","2,458,067","2,502,535","2,655,395","2,734,460","3,048,428","2,872,447","2,976,517","3,244,758","3,611,311","3,654,422","3,733,951","3,477,280","3,210,880","2,874,156","2,979,017","3,213,001","3,125,366","3,186,566","3,319,791","3,515,528","3,567,746","3,505,561","3,254,790","3,245,822","3,155,634","3,304,777","3,313,101","3,380,192","3,292,194","3,315,357","3,423,775","3,571,465","3,585,715","3,704,382","3,520,087","3,670,782","3,741,092","3,786,528","3,795,097","3,553,537","3,405,446","3,248,203","3,174,345","3,079,327","3,096,230","3,083,503","3,201,112","3,315,244","3,395,284","3,412,667","3,398,464","2,691,020","2,989,310","3,044,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"161,701","174,643","183,671","189,938","195,500","198,500","212,419","231,730","251,339","263,952","273,380","287,557","311,194","327,648","322,973","326,510","344,788","355,019","375,010","340,605","327,783","301,714","308,533","319,872","325,731","326,922","334,033","333,845","336,407","320,489","326,470","331,410","340,901","364,253","371,844","377,856","391,154","371,516","402,345","412,819","438,600","453,248","434,502","457,424","490,984","489,645","506,709","513,431","486,432","465,666","483,122","463,660","458,509","464,287","480,827","479,850","482,050","489,189","511,948","525,798","437,497","496,333","568,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"362,231","365,569","378,744","380,064","389,732","386,912","412,430","445,943","485,914","526,530","558,983","544,345","605,010","627,116","574,032","533,254","555,426","550,634","563,328","533,199","502,250","436,491","435,008","428,078","466,486","449,592","471,128","465,403","497,770","508,810","439,477","426,380","422,371","398,029","382,203","363,702","402,402","427,410","417,161","442,382","428,736","418,855","382,283","434,313","451,366","443,947","391,609","377,002","339,919","338,792","331,959","317,397","300,595","307,661","308,514","313,997","296,015","299,419","316,661","304,871","262,582","286,399","303,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"59,884","56,135","58,579","60,510","70,175","92,330","93,935","102,383","108,713","120,167","129,410","121,369","116,424","122,451","98,379","75,960","76,714","84,100","80,033","57,506","47,702","40,354","45,763","43,776","47,271","39,526","48,221","43,923","42,714","43,073","37,962","35,739","34,547","36,925","38,150","36,938","35,034","32,573","33,591","33,414","34,442","33,414","33,375","29,777","30,534","28,656","22,535","21,547","18,444","22,477","24,139","22,226","19,354","18,790","20,118","20,423","19,490","16,943","19,043","18,580","15,515","18,422","17,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"123,940","117,413","122,925","128,087","125,502","133,710","135,477","125,888","134,583","145,108","153,982","154,105","174,116","194,427","189,686","174,335","185,462","189,670","181,109","191,828","184,800","138,619","121,917","122,905","129,111","122,989","128,005","131,324","144,931","141,608","139,496","139,102","147,977","147,230","141,387","126,245","142,557","131,417","132,144","136,124","130,824","138,478","134,057","136,588","127,465","135,389","122,657","119,810","112,725","85,876","100,897","114,686","108,981","101,393","103,067","109,009","110,249","112,727","119,523","120,413","104,692","113,556","111,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"611,909","634,303","715,541","735,066","770,772","822,724","843,702","847,255","916,508","974,967","1,065,634","1,168,143","1,328,377","1,431,818","1,347,129","1,378,200","1,477,405","1,502,009","1,580,785","1,629,347","1,650,717","1,624,227","1,416,264","1,417,209","1,318,892","1,324,401","1,503,298","1,469,980","1,579,829","1,574,562","1,567,401","1,545,238","1,567,742","1,615,819","1,667,888","1,596,852","1,605,674","1,654,266","1,837,091","1,837,301","1,907,826","1,941,855","1,892,395","1,931,768","2,095,087","2,130,793","2,018,975","1,938,437","1,717,483","1,576,612","1,715,374","1,610,356","1,549,928","1,588,920","1,613,839","1,695,087","1,738,433","1,758,529","1,844,026","1,805,377","1,485,585","1,746,263","1,810,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
