"Renewable energy total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"4,670","5,160","5,283","5,493","5,828","6,057","6,114","5,910","5,946","6,056","6,267","6,526","6,261","5,847","6,035","6,112","6,532","7,853","7,530","7,550","4,562","5,060","4,791","5,373","6,282","6,520","5,019","5,897","6,295","12,217","11,545","11,063","11,938","11,564","14,301","13,675","13,145","8,109","6,084","5,040","5,574","8,126","8,538","8,984","8,983","6,284","5,514","5,923","5,577","7,464","7,977","8,147","7,989","9,242","12,452","13,619","15,615","14,092","14,639","13,900","14,013","13,638","15,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"66,967","69,190","71,684","67,547","76,231","71,876","72,734","80,231","78,106","78,987","78,420","87,971","93,651","99,356","93,841","99,284","95,154","102,034","93,491","108,365","173,134","170,843","189,979","202,817","212,240","200,191","178,850","181,152","179,389","212,018","180,825","181,640","186,497","207,205","255,095","256,556","246,945","221,668","245,667","237,358","223,807","195,007","193,944","199,713","223,105","213,161","219,744","202,722","198,327","194,818","210,917","223,966","220,573","257,785","236,151","226,149","218,668","230,454","235,725","233,794","234,324","237,594","232,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"40,817","41,049","40,059","38,411","38,775","38,819","40,584","37,500","43,993","44,534","41,635","40,836","42,466","52,058","51,312","47,582","48,224","57,171","60,263","57,348","58,173","59,550","62,820","71,850","72,508","78,057","71,444","69,821","73,295","98,107","84,959","85,229","89,408","102,703","95,703","95,304","98,641","100,134","93,780","92,463","92,540","76,386","85,422","90,113","88,909","92,433","90,543","100,818","96,285","104,270","115,397","116,471","111,934","116,070","115,500","108,228","106,939","104,395","106,516","108,242","90,845","87,788","88,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"14,214","13,847","13,645","14,064","13,932","18,841","21,495","21,267","23,609","25,112","25,337","27,194","27,928","29,132","30,033","30,164","31,674","29,348","31,083","33,049","51,394","44,681","45,570","73,058","78,637","73,282","73,384","52,100","44,931","46,201","42,902","41,462","41,644","40,750","43,382","49,010","50,240","61,559","53,679","49,643","45,505","39,763","37,820","36,695","36,383","49,956","51,429","54,867","64,824","54,870","56,944","66,796","60,623","62,524","73,811","79,229","85,895","90,156","94,629","94,320","91,997","100,293","102,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"141,733","136,263","165,152","180,034","174,530","202,276","190,831","223,328","204,480","256,255","248,565","254,219","240,952","269,058","301,484","275,396","236,233","212,831","297,367","297,376","272,059","254,048","315,009","363,470","339,406","306,810","305,255","278,026","283,719","413,507","383,113","376,041","377,508","416,004","355,772","419,049","404,112","376,474","392,331","372,132","370,066","325,466","355,371","406,651","423,563","439,339","464,146","403,525","397,932","419,880","492,956","541,230","495,642","554,027","560,848","564,459","645,587","725,380","691,153","789,197","736,995","809,480","881,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"9,788","9,415","9,886","10,099","10,420","9,768","10,388","10,391","10,654","11,198","12,579","14,323","14,274","14,682","14,261","14,190","14,670","16,129","20,056","21,984","16,606","18,903","20,424","22,556","24,590","26,625","28,372","19,690","20,585","18,570","17,179","20,012","18,597","20,448","18,625","21,823","23,186","24,693","21,478","21,743","22,119","19,783","17,922","19,324","19,744","21,105","24,920","31,003","43,086","45,676","49,451","60,203","60,524","68,186","71,763","76,213","87,203","88,446","90,772","98,381","99,477","107,850","121,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"14,289","14,421","13,830","14,287","14,805","14,180","14,474","15,308","16,154","16,712","16,960","17,443","18,963","18,751","19,499","18,786","21,194","21,078","23,894","26,157","41,962","41,128","38,869","45,512","38,459","38,531","32,925","28,402","32,125","32,942","30,723","31,964","36,453","36,817","37,501","43,715","51,996","47,965","46,427","46,716","47,338","27,934","26,344","29,180","39,906","26,015","32,143","33,792","32,779","38,278","40,862","39,579","36,818","40,035","41,985","43,698","44,486","42,169","42,899","42,395","38,755","41,615","38,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,133,124,125,119,104,98,95,96,110,106,108,109,109,108,125,125,142,158,193,210,"2,849","2,312","3,654","2,564","3,226","3,327","3,049","2,229","2,382","2,514","1,283","1,347","1,411","1,945","1,848","1,850","1,922","1,377","1,221","1,258","1,353",865,879,924,941,260,611,733,552,607,"1,070","1,174",935,"1,015","1,127","1,640","2,008","1,955","2,256","2,483","2,320","2,463","2,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"4,982","5,101","5,134","5,356","5,510","5,577","5,852","5,783","6,592","7,073","7,021","7,673","8,190","8,483","8,466","7,901","9,607","10,161","10,667","8,729","2,472","2,006","3,170","2,224","2,927","3,019","2,765","2,162","2,310","2,515","1,652","1,733","1,783","2,492","2,421","2,475","2,641","2,202","1,935","1,999","2,288","1,323","1,312","1,399","1,432","1,880","3,607","4,954","5,770","6,605","7,679","7,600","6,743","6,967","7,295","6,957","6,875","7,055","7,096","7,535","6,601","6,943","7,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"33,638","32,510","34,131","36,741","36,972","37,816","40,729","42,543","47,868","49,562","48,969","48,181","52,730","54,618","50,662","48,368","54,703","58,246","63,773","67,748","88,551","82,431","103,685","93,021","111,200","112,772","117,378","107,266","112,999","231,399","198,400","211,898","229,941","216,027","214,035","218,817","238,919","229,786","204,260","203,241","194,517","157,115","173,135","186,724","177,742","185,920","190,759","198,908","241,209","271,457","287,958","286,493","284,898","298,471","294,522","290,074","286,497","298,574","297,323","289,028","273,968","293,545","300,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
