"Renewable energy production, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"4,670","5,160","5,283","5,493","5,828","6,057","6,114","5,910","5,946","6,056","6,267","6,526","6,261","5,847","6,035","6,112","6,532","7,853","7,530","7,550","4,562","5,060","4,791","5,373","6,282","6,520","5,017","5,894","6,293","12,217","11,545","11,063","11,938","11,564","14,299","13,038","12,417","7,520","5,737","4,648","5,403","7,654","8,191","8,751","8,523","6,220","5,330","5,674","5,363","7,238","7,793","7,523","7,954","8,940","9,480","13,599","14,509","13,256","13,790","13,035","13,148","12,773","14,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"66,967","69,190","71,684","67,547","76,231","71,876","72,734","80,231","78,106","78,987","78,420","87,971","93,651","99,356","93,841","99,284","95,154","102,034","93,491","108,365","173,134","170,843","189,884","202,578","211,968","198,912","176,882","177,213","175,879","210,055","179,205","180,028","183,912","205,838","253,626","254,541","246,596","221,323","245,383","237,321","223,807","193,688","193,025","198,409","220,522","212,778","218,965","201,934","194,472","184,955","187,020","199,843","196,813","234,604","213,006","200,689","189,860","203,874","214,046","213,309","214,546","215,294","212,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"40,817","41,049","40,059","38,411","38,775","38,819","40,584","37,500","43,993","44,534","41,635","40,836","42,466","52,058","51,312","47,582","48,224","57,171","60,263","57,348","58,173","59,492","62,750","71,748","72,284","77,992","71,444","69,821","73,295","98,107","84,451","84,909","89,182","102,546","95,675","95,272","98,639","100,134","93,780","92,463","92,540","76,364","85,388","90,085","88,854","92,357","90,859","100,787","94,860","99,078","103,007","106,324","100,792","105,035","103,703","96,786","94,512","99,437","107,784","109,532","84,223","86,121","89,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"14,214","13,847","13,645","14,064","13,932","18,841","21,495","21,267","23,609","25,112","25,337","27,194","27,928","29,132","30,033","30,164","31,674","29,348","31,083","33,049","51,394","44,664","45,527","73,052","78,637","73,282","73,384","52,100","44,931","46,201","42,902","41,462","41,644","40,473","42,659","46,738","48,324","59,656","52,211","48,375","44,053","37,740","36,653","35,573","35,286","36,004","36,455","40,436","49,583","39,494","40,851","49,678","43,953","41,822","54,242","59,093","62,336","66,841","71,075","67,849","66,319","72,153","74,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"141,733","136,263","165,152","180,034","174,530","202,276","190,831","223,328","204,480","256,255","248,565","254,219","240,952","269,058","301,484","275,396","236,233","212,831","297,367","297,376","272,059","252,626","311,185","359,594","336,282","305,640","304,167","276,259","279,965","410,156","379,479","371,447","377,325","414,397","353,389","410,708","396,901","369,373","387,102","367,625","364,952","318,256","347,040","357,449","352,132","361,238","388,725","328,196","321,700","340,985","370,497","422,243","377,749","399,975","407,848","391,307","462,264","537,840","507,201","560,175","510,610","528,926","543,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"9,788","9,415","9,886","10,099","10,420","9,768","10,388","10,391","10,654","11,198","12,579","14,323","14,274","14,682","14,261","14,190","14,670","16,129","20,056","21,984","16,606","18,916","20,268","22,177","24,044","25,176","27,948","19,626","20,275","17,974","16,476","19,286","17,387","18,430","16,681","18,805","17,857","19,482","16,338","17,386","17,196","13,038","11,960","12,412","13,114","18,530","28,149","34,532","45,794","47,462","50,632","58,618","57,694","64,606","67,511","69,069","77,879","79,727","81,739","87,367","91,301","99,821","113,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"14,289","14,421","13,830","14,287","14,805","14,180","14,474","15,308","16,154","16,712","16,960","17,443","18,963","18,751","19,499","18,786","21,194","21,078","23,894","26,157","41,962","41,037","38,833","45,500","38,417","38,424","32,885","28,402","32,125","32,942","30,723","31,852","35,989","36,250","37,120","43,633","51,717","47,670","46,144","46,413","47,003","27,828","26,046","27,437","27,130","22,571","22,154","21,650","22,675","26,126","27,675","26,961","24,732","27,138","29,188","30,165","30,864","28,295","30,892","30,697","29,356","31,660","28,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,133,124,125,119,104,98,95,96,110,106,108,109,109,108,125,125,142,158,193,210,"2,849","2,311","3,654","2,563","3,226","3,327","3,047","2,226","2,378","2,511","1,283","1,344","1,411","1,945","1,848","1,850","1,922","1,377","1,221","1,258","1,353",865,879,924,941,44,42,46,52,35,62,155,126,145,158,632,922,"1,015","1,197","1,435","1,443","1,523","1,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"4,982","5,101","5,134","5,356","5,510","5,577","5,852","5,783","6,592","7,073","7,021","7,673","8,190","8,483","8,466","7,901","9,607","10,161","10,667","8,729","2,472","2,006","3,170","2,224","2,927","3,019","2,765","2,162","2,310","2,515","1,652","1,733","1,783","2,492","2,421","2,475","2,641","2,202","1,935","1,999","2,288","1,322","1,311","1,398","1,431",949,858,"1,511","2,933","3,543","3,762","3,909","3,184","3,151","3,456","2,729","2,383","2,411","2,449","2,600","2,449","2,488","2,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"33,638","32,510","34,131","36,741","36,972","37,816","40,729","42,543","47,868","49,562","48,969","48,181","52,730","54,618","50,662","48,368","54,703","58,246","63,773","67,748","88,551","81,851","102,836","90,142","107,245","108,982","114,862","106,086","112,355","230,620","197,765","211,107","229,146","215,574","213,667","218,618","238,849","229,667","204,138","203,158","194,363","157,016","173,217","186,891","178,001","182,550","185,522","190,783","193,877","212,166","228,463","225,550","220,549","230,795","227,832","220,076","219,892","228,619","229,488","221,681","215,940","227,837","234,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"79,073","78,025","78,468","82,421","87,913","85,250","86,062","83,470","84,378","83,888","80,385","85,674","91,157","96,078","95,895","93,112","104,309","107,806","112,073","118,391","113,186","106,315","118,156","121,827","130,374","126,328","126,582","123,789","124,419","190,966","203,421","197,187","200,421","209,260","210,923","220,160","224,444","233,372","221,057","212,369","205,344","174,091","265,343","193,872","202,506","189,871","191,015","186,860","160,697","174,672","199,387","201,314","192,835","225,463","247,171","250,572","256,482","248,229","254,393","266,585","265,602","267,476","273,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,93,83,69,284,617,529,525,628,999,"1,070",796,652,859,866,904,874,"1,017",752,561,634,"12,205","13,005","12,744","14,322","14,651","14,573","16,641","18,170","19,756","28,153","27,178","26,765","26,202","26,238","23,020","22,171","21,531","19,937","19,091","19,430","17,784","10,241","9,299","11,487","11,680","10,784","11,289","11,350","12,201","12,213","11,494","11,781","11,967","14,827","15,174","15,204","16,893","14,974","14,790","14,258","15,106","16,665","16,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"9,410","9,222","8,926","8,046","7,934","8,628","8,921","8,584","9,599","9,159","9,456","9,672","10,315","10,368","10,712","10,885","10,696","11,612","12,823","12,715","51,956","58,324","59,840","65,775","71,123","71,697","100,695","111,951","117,723","86,613","82,386","85,590","93,311","101,127","106,620","106,200","113,242","104,705","101,783","105,517","99,882","96,388","101,329","123,226","161,154","197,979","250,183","318,499","381,752","494,557","554,423","595,539","586,826","605,138","622,027","655,375","679,318","706,564","738,301","752,128","709,062","748,411","770,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"32,388","29,904","31,236","30,959","32,529","33,020","33,565","33,833","33,676","32,048","35,620","36,666","38,130","39,456","43,380","46,157","49,181","38,568","50,743","50,115","47,085","48,758","55,615","61,473","63,613","56,084","61,146","44,931","40,889","59,018","55,796","54,593","49,021","59,217","52,046","64,081","72,208","79,533","72,434","75,764","66,995","55,054","54,490","53,472","56,498","64,817","72,248","66,117","71,339","65,792","72,555","85,405","77,725","72,903","83,526","87,819","83,218","93,049","97,177","94,499","79,085","74,283","84,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
